Block,Treatment,Cell/Plate #,Sex,Notes,JB2020 Notes,N1,N2,N3,N4,N5,TotalDevelopment,Fate
1,HB,A1,,Dead Feb 15,,1,,,,,1,D
1,HB,A2,,Dead Feb 15,,,,,,,0,D
1,HB,A3,,Dead Feb 10- Ephestia,,,,,,,0,D
1,HB,A5,,dead feb 22 - agar,,1,2.5,2.5,4,,10,D
1,HB,A6,,dead feb 22,,1,4,1,,,6,D
1,HB,B3,M,,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",0.5,2,2,3,8,15.5,A
1,HB,B4,,Dead Feb 15,,1,,,,,1,D
1,HB,B5,F,Escape Feb 17,"notes said ""Escaped Feb 17"" on paper and excel, but also says adult emerged on 22 and F and has tibia length so included",2.5,2.5,1,3,8,17,A
1,HB,B6,M,,,2.5,2.5,1,6,6,18,A
1,HB,C2,,dead feb 25,"if this individual molted from N1 to N2 on the same day, then the N1 must have lasted less than 1 but more than 0 days, so 0.5 days is assumed",0.5,4,1,2,,7.5,D
1,HB,C4,,Dead Feb 15,,,,,,,0,D
1,HB,C6,F,,,0.5,0.5,5,3,8,17,A
1,HB,D2,M,,,2,2,2,3,13,22,A
1,HPS,A1,,Dead Feb 18,,3,,,,,3,D
1,HPS,A3,,Dead Feb 12,,,,,,,0,D
1,HPS,A4,,Dead Feb 12,,,,,,,0,D
1,HPS,A5,F,,,1,1,3,4,11,20,A
1,HPS,A6,,Dead Feb 15,,1,1,,,,2,D
1,HPS,B1,,Dead Feb 19,,2,2,2,,,6,D
1,HPS,B2,M,,"notes said ""Escaped Feb 17"" but not on paper datasheet, possibly was entered in wrong space in excel",1,1,7,2,10,21,A
1,HPS,B3,F,,,1,1,3,3,9,17,A
1,HPS,B4,,Dead Feb 15,,1,1,,,,2,D
1,HPS,B5,M,,,2,3,3,3,8,19,A
1,HPS,B6,M,,"notes said ""Escaped Feb 17"" but not on paper datasheet, possibly was entered in wrong space in excel",1,1,3,8,7,20,A
1,HPS,C2,,Dead Feb 15,,0.5,0.5,,,,1,D
1,HPS,C3,M,,"said Adult emerged on 20, but paper says 27 and M",2,1.5,1.5,3,9,17,A
1,HPS,C4,F,,,1,3,1,3,8,16,A
1,HPS,C5,F,,,0.5,0.5,5,4,9,19,A
1,HPS,D3,M,,,1,3,4,2,7,17,A
1,HPS,D4,,Dead Feb 21,,0.5,0.5,4,3,,8,D
1,HPS,D5,F,,,1,3,1,6,8,19,A
1,HPS,D6,,Dead Feb 15,,1,,,,,1,D
1,HR,A1,,Dead Feb 19,,1,2,1.5,1.5,,6,D
1,HR,A2,M,,,1,1,3,2,9,16,A
1,HR,A3,,Dead Feb 16 - Agar,,1,1,,,,2,D
1,HR,A4,,Dead Feb 16 - Tape,,1,1,3,,,5,D
1,HR,A5,F,,,0.5,0.5,4,2,9,16,A
1,HR,B1,,D march 1,,2,1.5,1.5,2,,7,D
1,HR,B2,,Dead Feb 12- Tape,,,,,,,0,D
1,HR,B3,,Dead Feb 15,,2,,,,,2,D
1,HR,C2,F,,,1,1,4,2,12,20,A
1,HR,C5,,Dead Feb 12 - Sticky,,,,,,,0,D
1,HR,C6,F,,,1,3,2,9,5,20,A
1,HR,D1,F,,,1,1,4,4,8,18,A
1,HR,D2,,Dead Feb 21,,2,2,2,,,6,D
1,HR,D3,,Dead February 15,,2,,,,,2,D
1,HR,D4,M,,,2,4,1,5,6,18,A
1,HR,D5,F,,,1,3,2,1,8,15,A
1,HR,D6,,Dead Feb 19 - Molting,,0.5,0.5,5,,,6,D
1,LB,A2,,Dead February 16,,2,1,1.5,1.5,,6,D
1,LB,A5,M,,,0.5,0.5,5,2,6,14,A
1,LB,B1,,Dead February 15,,1,1.5,1.5,,,4,D
1,LB,B3,F,,,1,4,3,2,9,19,A
1,LB,B5,,Dead Feb 16,,0.5,0.5,,,,1,D
1,LB,B6,F,,,1,1.5,1.5,3,8,15,A
1,LB,C3,,dead feb 29,,2,2,2,2,,8,D
1,LB,C6,,Dead February 15,,,,,,,0,D
1,LB,D1,M,,,1,3,1,2,8,15,A
1,LB,D2,M,,,1,3,2,3,7,16,A
1,LB,D3,F,,,1,3,2,3,10,19,A
1,LB,D5,M,,,1,3,3,3,10,20,A
1,LR,A1,,Dead Feb 10 - On Tape,,,,,,,0,D
1,LR,B1,,dead feb 25,,1,4,2,1,,8,D
1,LR,C2,,dead march 4,,1,2,2,10,,15,D
1,LR,D1,,dead feb 21 - mold,,1,4,2,,,7,D
1,LR,D2,,Dead Feb 11- On ephestia strip,,,,,,,0,D
1,S,A2,F,,,1,2,3,2,2,10,A
1,S,A4,,Dead Feb 15,,1.5,1.5,,,,3,D
1,S,A6,,Dead Feb 15,,1.5,1.5,,,,3,D
1,S,B1,,Dead Feb 15,,1.5,1.5,,,,3,D
1,S,B2,,Dead Feb 10,,,,,,,0,D
1,S,B5,,Dead Feb 15,,1,2,,,,3,D
1,S,C1,,Dead Feb 16,,1.5,1.5,,,,3,D
1,S,C2,M,,,1,2,3,2,2,10,A
1,S,C4,F,,,1,2,1.5,1.5,3,9,A
1,S,D2,,Dead Feb 12,,,,,,,0,D
1,S,D3,M,,,1.5,1.5,3,2,2,10,A
1,S,D4,,Dead Feb 17,,,,,,,0,D
1,S,D5,,Dead Feb 15 - Ephestia contains feeder mites,,1,2,,,,3,D
1,S,D6,,Dead Feb 10,,,,,,,0,D
1,W,A2,,dead feb 26,"on paper has ""?"" in N2",1.5,1.5,4,3,,10,D
1,W,A3,,Dead Feb 15,had 10 in N2 but not on paper,1.5,1.5,1.5,1.5,,6,D
1,W,A4,,Dead Feb 16,,1,5,,,,6,D
1,W,A5,,Dead Feb 16,had 10 in N2 but not on paper,1.5,1.5,4,,,7,D
1,W,A6,,Dead Feb 15,had 10 in N2 but not on paper,1.5,1.5,,,,3,D
1,W,B2,,Dead Feb 19,,1.5,1.5,4,,,7,D
1,W,B3,,Dead Feb 15,,1,2,,,,3,D
1,W,B4,,Dead Feb 15,,1,2,,,,3,D
1,W,B5,,Dead Feb 16,,1,2,,,,3,D
1,W,B6,,Dead Feb 16,,1,2,,,,3,D
1,W,C1,,Dead Feb 15,had 10 in N2 but not on paper,1.5,1.5,,,,3,D
1,W,C2,,Dead Feb 15,had 10 in N2 but not on paper,1.5,1.5,,,,3,D
1,W,C3,,Dead Feb 15,had 10 in N2 but not on paper,1.5,1.5,,,,3,D
1,W,C4,,Dead Feb 15,had 10 in N2 but not on paper,1.5,1.5,,,,3,D
1,W,D2,,Dead Feb 12 - On Sticky,,,,,,,0,D
1,W,D3,,Dead Feb 15,,1,2,,,,3,D
1,W,D4,,Dead Feb 12,,,,,,,0,D
1,W,D6,,Dead Feb 15,,1,2,,,,3,D
1,W2,A1,,Dead Feb 15,"""light changed feb 18"" above this section on paper, and ""condensation blocks air holes"" below this section",1,,,,,1,D
1,W2,A3,,Dead Feb 16,,0.5,0.5,,,,1,D
1,W2,A4,,Dead Feb 15,,0.5,0.5,,,,1,D
1,W2,A5,,Dead Feb 16,,1,1.5,1.5,,,4,D
1,W2,A6,,Dead Feb 15,,1,,,,,1,D
1,W2,B1,,dead feb 29,,1,4,2,2,,9,D
1,W2,B2,,Dead Feb 15,,1,3,,,,4,D
1,W2,B3,,Dead Feb 16,,1,3,,,,4,D
1,W2,B4,,Dead Feb 15,,1,,,,,1,D
1,W2,B5,,Dead Feb 15,,,,,,,0,D
1,W2,B6,,Dead Feb 15,,0.5,0.5,,,,1,D
1,W2,C4,,Dead Feb 15,,1,,,,,1,D
1,W2,C5,,Dead Feb 15,,1,3,,,,4,D
1,W2,C6,,Dead Feb 16,,1,,,,,1,D
1,W2,D1,,Dead Feb 15,,0.5,0.5,,,,1,D
1,W2,D2,,Dead Feb 17,Impossible arrangement of dates,1,4,,0,,5,D
1,W2,D3,,Dead Feb 16,,0.5,0.5,,,,1,D
1,W2,D4,,Dead Feb 15,,1,,,,,1,D
1,W2,D5,,Dead Feb 18,Impossible arrangement of dates,0.5,0.5,4,0,,5,D
1,W2,D6,,Dead Feb 16,,1,1.5,1.5,,,4,D
2,HB,2,F,,,2,1,2,3,8,16,A
2,HB,3,,D M 18,,1,2,4,2,,9,D
2,HB,6,,Dead March 8,,,,,,,0,D
2,HB,9,,D M 18,,1,2,3,7,,13,D
2,HB,10,,D M 18,,2,4,2,4,,12,D
2,HB,11,F,,,1,3,2,3,6,15,A
2,HB,12,,D M 18,,1,3,1,2,,7,D
2,HB,13,,Dead March 10,,1,3,,,,4,D
2,HB,14,,D M 18,,1,4,1,3,,9,D
2,HB,15,,Dead March 12,,1,3,1,4,,9,D
2,HB,16,,Dead March 26,,1,2,4,1,,8,D
2,HB,17,M,,,2,3,2,5,6,18,A
2,HB,18,,D M 18,,2,2,3,,,7,D
2,HB,19,,D M 24,,2,2,1.5,1.5,,7,D
2,HPS,1,,D M18,,2,1,2,,,5,D
2,HPS,2,,D M 14,,1,2,2,4,,9,D
2,HPS,3,,D M14,,1.5,1.5,3,1,,7,D
2,HPS,4,F,,,2,1,2,6,6,17,A
2,HPS,6,,D M 18,,1,3,3,2,,9,D
2,HPS,7,,D M14,,1,3,3,2,,9,D
2,HPS,9,,D M3,,1,,,,,1,D
2,HPS,10,,D M 18,,1,1,2,3,,7,D
2,HPS,11,,D M 13,,2,3,,,,5,D
2,HPS,12,M,,,1,2,3,2,5,13,A
2,HPS,13,M,,,1,2,3,2,7,15,A
2,HPS,14,,D M 18,,1,3,1,2,,7,D
2,HPS,15,,D M 14,,1,3,2,1,,7,D
2,HPS,16,,D M11,,1,,,,,1,D
2,HPS,17,,D M16,,1,2,,,,3,D
2,HPS,19,,D M11,,2,,,,,2,D
2,HPS,20,,D M 18,,2,2,4,,,8,D
2,HPS,N9,,D M 16,,1,4,3,,,8,D
2,HR,1,M,,,2,2,4,2,6,16,A
2,HR,2,,D M 18,,2,2,4,2,,10,D
2,HR,3,,Dead March 2,,1,1,,,,2,D
2,HR,4,M,,,2,1,2,3,8,16,A
2,HR,5,,D M 18,,1,3,3,3,,10,D
2,HR,6,,D M 3,,,,,,,0,D
2,HR,8,,D M 18,,1,2,4,,,7,D
2,HR,9,,D M 18,,1,3,3,1,,8,D
2,HR,10,,Dead March 2,,,,,,,0,D
2,HR,11,,D M 18,,1,5,1,4,,11,D
2,HR,13,F,,,1,2,3,6,9,21,A
2,HR,N12,,D M 22,,1,2,2,3,,8,D
2,HR,N3,F,,,2,2,4,2,5,15,A
2,LB,1,F,,"""Ephestia changed Wd/Mon March 2 for all treat. , u=unknown cohort (was bulk rear w letter) , (set up more Summer) , (-new dishes R)"" above this section, and ""If I cant find a bug, I write E (date)? And keep for another day to be sure -If fold on agar, wipe w/ swab in 95%ethanol - replace Ephestia if moldy - bugs like to hide on mesh, under Ephestia"" below this section",1,3,3,4,5,16,A
2,LB,2,,D M 18,,1,3,4,1,,9,D
2,LB,3,,D M 11,"doenst say ""D M 11"" on paper",2,2,4,,,8,D
2,LB,4,F,,,2,2,4,3,6,17,A
2,LB,5,F,,,2,2,3,3,5,15,A
2,LB,6,F,,,1,2,4,3,5,15,A
2,LB,7,,D M 28,,2,2,2,4,,10,D
2,LB,8,F,,,1,2,4,1,7,15,A
2,LB,9,,D M 18,,2,4,2,3,,11,D
2,LB,10,,Dead March 9,,1,2,3,,,6,D
2,LB,11,,Dead March 14,,2,1,5,,,8,D
2,LB,12,,Dead March 14,,2,4,2,2,,10,D
2,LB,14,,D M 22,,1,3,5,3,,12,D
2,LB,15,,d March 18 - mold,,4,3,2,3,,12,D
2,LR,1,,Dead March 11,,1,4,3,,,8,D
2,LR,2,,Dead March 10,,2,6,2,,,10,D
2,LR,3,,D M 4,,2,,,,,2,D
2,LR,4,,D M 18,,3,2,3,4,,12,D
2,LR,5,,D M 18?,,1,3,3,3,,10,D
2,LR,6,M,,,1,3,3,3,7,17,A
2,LR,7,F,,,1,6,6,2,3,18,A
2,LR,8,,D M 7,,2,2,,,,4,D
2,LR,9,,D M 18,,1,3,4,2,,10,D
2,LR,10,F,,,1,3,4,3,7,18,A
2,LR,11,,Dead March 13,,1,,,,,1,D
2,LR,12,F,,,1,3,2,5,6,17,A
2,LR,N11,,Dead March 8,,,,,,,0,D
2,S,1,,Dead Feb 25,"""+ 2 Dead"" written at bottom of this section",,,,,,0,D
2,S,2,,Dead March 1,,,,,,,0,D
2,S,3,M,,,0.5,0.5,2,1,2,6,A
2,S,4,,Dead Feb 29,,1,1,,,,2,D
2,S,6,,Dead Feb 29,,0.5,0.5,,,,1,D
2,S,7,F,,,1,1,2,1,2,7,A
2,S,8,M,,,1,1,3,1,3,9,A
2,S,9,,Dead Feb 29,,1,1,,,,2,D
2,S,11,,Dead Feb 29,,1,1,,,,2,D
2,S,12,F,,,1,1.5,1.5,3,1,8,A
2,S,13,M,,,1,1.5,1.5,3,1,8,A
2,S,15,,Dead March 8,,1,1.5,1.5,,,4,D
2,S,16,F,,,1,1,2,1,2,7,A
2,S,18,F,,,1,2,1,1,3,8,A
2,S,19,F,,,1,1,2,1,2,7,A
2,S,N1,M,,,1,1.5,1.5,3,1,8,A
2,S,N2,M,,,1,1.5,1.5,2,1,7,A
2,S,N3,F,,,1,1.5,1.5,4,1,9,A
2,S,N4,M,,,1,1.5,1.5,2,2,8,A
2,S,N6,F,,,1,1.5,1.5,2,2,8,A
2,W,1,,Dead March 14,,3,1,2,4,,10,D
2,W,2,,D M 18,,2,2,2,3,,9,D
2,W,3,F,,,2,2,2,3,10,19,A
2,W,4,,D M 18,,1,2,4,,,7,D
2,W,5,M,,,1,3,2,3,6,15,A
2,W,6,M,,,1,3,2,4,5,15,A
2,W,7,,Dead March 12,,1,3,2,4,,10,D
2,W,8,M,,,2,2,2,3,6,15,A
2,W,10,F,,,1,2,2,3,7,15,A
2,W,11,F,,,1,2,3,2,10,18,A
2,W,12,,D M 17,,1,4,3,6,,14,D
2,W,13,M,,,1,2,2,3,8,16,A
2,W,14,,Dead March 13,,2,2,2,2,,8,D
2,W,15,,D M 11,,1,2,3,3,,9,D
2,W,16,,Dead March 14,,1,2,,,,3,D
